Station Name,Device ID,Dev. Type,Installed,Latitude DMS,Longitude DMS,Elevation,Station Location
Freestone Basin,6608,Stream PT,12/19/1995,33 21 26.4,111 46 21.9,1245,1/2 mi. SSE of Guadalupe Rd. and Lindsay Rd.
Crossroads Park,6623,Stream PT,12/18/1995,33 19 39.7,111 44 47.9,1270,1/2 mi. NW of Ray Rd. and Greenfield Rd.
Signal Butte FRS,6628,Stream PT,11/10/1987,33 26 24.2,111 35 25.1,1710,1/4 mi. NE of Signal Butte Rd. and Brown Rd.
Spookhill FRS @ McDowell Rd.,6637,Stream PT,6/19/2008,33 27 57.4,111 40 42.0,1585,McDowell Rd. at Loop 202
Spookhill FRS @ McKellips Rd.,6638,Stream PT,6/19/2008,33 27 04.2,111 40 03.9,1590,McKellips Road at Loop 202
Amigos Wash,6648,Stream PT,1/9/2013,33 27 16.8,111 36 24.4,1785,400 yds. N of Pass Mtn. Diversion Channel
Apache Junction FRS,6673,Stream PT,1/4/1989,33 26 29.2,111 33 06.4,1810,1/3 mi. NW of Lost Dutchman Blvd. and Idaho Rd.
Powerline FRS,6683,Stream PT,12/3/1992,33 21 16.7,111 32 45.5,1580,Alignments of Idaho Rd. and Warner Rd.
Vineyard FRS,6688,Stream PT,11/9/1987,33 21 03.3,111 32 34.2,1580,Alignments of Tomahawk Rd. and Williams Field Rd.
Spookhill FRS @ Brown Rd.,6693,Stream PT,6/4/2008,33 26 11.9,111 38 52.8,1595,Brown Rd. at the Hawes Rd. alignment
Maryland Ave. @ 27th Ave.,6700,Precip.,12/22/1994,33 31 52.1,112 06 49.3,1170,"Near I-17, 1/2 mi. North of Bethany Home Rd."
Rittenhouse FRS,6703,Stream PT,9/27/1988,33 17 20.3,111 30 23.7,1590,Alignments of Goldfield Rd. and Germann Rd.
Queen Cr. @ Rittenhouse Rd.,6707,Stream PT,9/14/1993,33 13 48.9,111 35 39.4,1450,1/3 mi. SE of Signal Butte Rd. & Chandler Hgts Rd. alignments
Powerline Floodway,6708,Stream PT,2/13/2008,33 19 16.4,111 38 09.9,1385,Ellsworth Rd. and Ray Rd. alignment
Queen Cr. @ CAP,6723,Stream PT,1/14/1999,33 13 55.8,111 30 11.3,1565,Queen Creek at Central Arizona Project
Whitlow Ranch Dam,6739,Non Subm PT,1/8/1998,33 17 56.6,111 16 32.8,2200,5 miles NE of Florence Junction
Weekes Wash @ Baseline Rd.,6753,Stream PT,5/27/2008,33 22 43.7,111 32 15.1,1630,Baseline at Royal Palm Rd.
EMF below Powerline Floodway,6758,Stream PT,4/15/2014,33 19 01.7,111 41 03.3,1320,1/4 mile SE of Ray Rd. and Power Rd.
Camelback Rd. @ 24th Ave.,6800,Precip.,10/8/2015,33 30 35.5,112 06 37.9,1140,24th Ave. north of Camelback Road
Camelback Rd. @ 24th Ave.,6807,Stream PT,10/8/2015,33 30 35.5,112 06 37.9,1140,24th Ave. north of Camelback Road
Buckeye FRS #3,6813,Stream PT,11/23/1992,33 26 49.5,112 33 21.4,1150,1/4 mi. NE of I-10 and Watson Rd.
White Tank FRS #4,6823,Stream PT,12/22/1987,33 27 03.8,112 28 54.3,1035,1/4 mi. NW of Jackrabbit Train and Van Buren St.
Waterman Wash @ Rainbow Valley Rd.,6833,Stream PT,3/22/1999,33 15 42.2,112 26 38.5,1020,Rainbow Valley Rd. at Queen Creek Rd.
Gila R. @ 116th Ave.,6848,Stream PT,12/16/1998,33 22 58.2,112 18 29.2,955,1/4 mile NNW of 115th Ave. and Baseline Rd.
Gila R. @ Estrella Pkwy.,6853,Stream PT,3/1/1993,33 23 20.6,112 23 32.9,920,Gila River at Estrella Parkway
Bullard Wash @ Indian School Rd.,6868,Stream PT,6/27/2006,33 29 32.7,112 22 54.1,1025,Indian School Rd. @ Wigwam Blvd.
Estrella Fan,6893,Stream PT,4/30/1993,33 16 10.1,112 19 15.3,1455,Alignments of El Mirage Rd. and Germann Rd.
Sauceda Wash,6923,Stream PT,2/28/1990,32 52 49.6,112 45 15.4,850,6 mi. SSW of Gila Bend
Sand Tank Wash @ I-8,6933,Stream PT,6/28/2001,32 55 59.1,112 42 20.8,765,On I-8 bridge south of Gila Bend
Rainbow Wash,6953,Stream PT,11/6/2000,33 14 08.0,112 38 21.0,905,9 miles south of Buckeye on SR 85
Bender Wash,6963,Stream PT,5/12/2004,32 54 24.2,112 33 05.7,1200,"Near I-8, 9 miles East of Gila Bend"
Vekol Wash,6983,Stream PT,3/7/1990,32 50 35.3,112 15 07.5,1720,1/4 mile N of the I-8 bridge over Vekol Wash
Missouri Ave. @ 16th St.,7000,Precip.,1/17/1991,33 30 57.9,112 02 53.6,1160,SW corner of Missouri & 16th St.
Martinez Creek,7013,Stream PT,11/23/1994,34 01 41.8,112 47 32.1,2370,1 mi. East of the US 93 / US 89 junction
Sols Trib. @ US 93,7028,Stream PT,1/30/2002,34 03 06.8,112 51 01.1,2580,3.3 miles NW of the US 93 / US 89 junction
Sols Wash near Matthie,7043,Bubbler,8/4/1995,33 59 14.8,112 47 34.7,2245,"Sols Wash at SPRR bridge, 2 mi. N. of Wickenburg Airport"
Hartman Wash,7063,Stream PT,7/6/1994,33 57 46.0,112 49 40.7,2460,"On US 60 bridge, 6.3 mi. West of US 60 / US 93"
Flying E Wash,7083,Stream PT,7/12/1994,33 57 44.0,112 46 58.5,2305,"On US 60 bridge, 3 mi. West of US 60 / US 93"
Casandro Wash,7093,Stream PT,7/12/1994,33 57 43.3,112 45 55.0,2240,"On US 60 bridge, 2 mi. West of US 60 / US 93"
Powder House Wash,7113,Stream PT,5/18/1995,33 58 51.0,112 43 02.3,2150,"1/2 mi. NE of US 60 and Constellation Rd., Wickenburg"
Casandro Dam,7133,Stream PT,8/15/1996,33 58 02.8,112 44 54.7,2165,1.1 miles W of the US60 / US93 intersection
Antelope Creek,7168,Stream PT,7/9/2003,34 02 55.6,112 46 45.7,2400,6.5 miles NNW of Wickenburg
Grand Ave. @ Peoria Ave.,7500,Precip.,7/11/1996,33 35 00.5,112 14 21.7,1140,Intersection of Grand Ave. and Peoria Ave.
East Fork Cave Cr. Basin #1,7800,Precip.,3/2/1994,33 40 11.3,112 01 31.3,1495,1/4 mi. E of Beardsley Rd. and Cave Creek Rd.
Prickly Pear Wash,8100,Precip.,6/1/2017,33 43 15.6,111 59 24.0,1740,0.8 mi. SW of Jomax Rd. & Tatum Blvd.
Prickly Pear Wash,8107,Stream PT,6/1/2017,33 43 15.6,111 59 24.0,1740,0.8 mi. SW of Jomax Rd. & Tatum Blvd.
East Fork Cave Cr. Basin #4,8200,Precip.,1/18/1994,33 38 56.5,112 00 37.5,1465,1/4 mi. S of Union Hills Dr. and 32nd St.
CAP Reach11 Dike #1,8407,Stream PT,7/19/2016,33 39 32.0,111 58 58.6,1545,0.4 miles NW of Union Hills Dr. & Tatum Blvd.
East Fork Cave Cr. near 7th Ave.,8500,Precip.,5/21/1997,33 37 40.6,112 04 50.7,1340,"Near 7th Ave., 1/2 mile south of Greenway Rd."
East Fork Cave Cr. Basin #3,8700,Precip.,9/13/1994,33 38 45.9,112 02 21.1,1430,1/2 mi. SW of Union Hills Dr. and Cave Creek Rd.
East Fork Cave Cr. Basin #3A,8807,Stream PT,10/14/2015,33 38 52.3,112 02 07.4,1440,Grovers Ave. @ 22nd St.
Paradise Valley Country Club,9300,Precip.,7/11/1989,33 32 06.8,111 58 25.9,1360,1/2 mi. North of Lincoln Dr. and Tatum Blvd.
Dreamy Draw Dam,9800,Precip.,1/24/1984,33 33 43.8,112 01 53.7,1405,1/4 mi. SSW of the 24th St. and Dunlap Ave. alignments
Phoenix Dam 2B,9900,Precip.,6/29/2009,33 36 23.8,112 03 28.4,1425,Near Thunderbird and 7th St.
Phoenix Dam 2B,9901,Temperature,6/29/2009,33 36 23.8,112 03 28.4,1425,Near Thunderbird and 7th St.
Phoenix Dam 2B,9902,Humidity,6/29/2009,33 36 23.8,112 03 28.4,1425,Near Thunderbird and 7th St.
Phoenix Dam 2B,9903,Pressure,6/29/2009,33 36 23.8,112 03 28.4,1425,Near Thunderbird and 7th St.
Phoenix Dam 2B,9904,Ave. Wind,6/29/2009,33 36 23.8,112 03 28.4,1425,Near Thunderbird and 7th St.
Phoenix Dam 2B,9905,Wind Dir.,6/29/2009,33 36 23.8,112 03 28.4,1425,Near Thunderbird and 7th St.
Phoenix Dam 2B,9906,Peak Wind,6/29/2009,33 36 23.8,112 03 28.4,1425,Near Thunderbird and 7th St.
Phoenix Dam 2B,9907,Stream PT,6/30/2009,33 36 23.8,112 03 28.4,1425,Near Thunderbird and 7th St.
Phoenix Dam 2B,9911,Solar Rad.,6/29/2009,33 36 23.8,112 03 28.4,1425,Near Thunderbird and 7th St.
Phoenix Dam 2B,9916,Dewpoint,6/29/2009,33 36 23.8,112 03 28.4,1425,Near Thunderbird and 7th St.
ACDC @ 36th St.,10000,Precip.,2/24/1994,33 30 49.3,111 59 58.7,1250,1/2 mi. North of 36th St. and Camelback Rd.
ACDC @ Dreamy Draw,10209,Status,11/4/2009,33 32 51.0,112 03 28.4,1220,Arizona Canal near Northern Ave.
ACDC @ 14th St.,10500,Precip.,2/9/1994,33 32 37.3,112 03 05.1,1230,1/2 mi. North of Glendale Ave. and 14th St.
ACDC @ 16th St.,10709,Status,11/4/2009,33 32 31.7,112 02 54.4,1225,Arizona Canal @ 16th St.
10th St. Wash Basin #1,11000,Precip.,10/23/1996,33 34 46.8,112 03 17.3,1320,1/4 mi. SW of Peoria Ave. and Cave Creek Rd.
ACDC @ 43rd Ave.,11300,Precip.,11/14/1990,33 35 02.4,112 09 15.2,1225,1/4 mi. NW of Peoria Ave. and 43rd Ave.
Phoenix Basin #3,11500,Precip.,12/18/2001,33 35 11.7,112 02 48.5,1365,Cave Creek Road at 16th St.
Cave Creek @ Cactus Rd.,11800,Precip.,7/13/1991,33 35 58.9,112 06 43.2,1280,1/4 mi. ENE of I-17 and Cactus Rd.
ACDC @ Cave Creek,12000,Precip.,3/11/1997,33 34 22.6,112 06 16.0,1230,Mountain View Rd. near 23rd Ave.
Paradise Lane @ 33rd Dr.,12407,Stream PT,10/8/2015,33 37 56.6,112 07 41.3,1315,1/3 mi. east of 35th Ave. & Paradise Lane
Greenway Rd. @ 32nd Ave.,12500,Precip.,1/31/1991,33 37 31.8,112 07 46.1,1295,1/4 mi. East of Greenway Rd. and 35th Ave.
Phoenix Dam #99,12700,Precip.,7/7/2009,33 34 29.1,112 00 51.4,1455,32nd St. and SR 51
Phoenix Basin #7,13300,Precip.,10/17/1996,33 36 04.4,112 04 21.5,1400,1/8 mile SW of Thunderbird and 7th Street
Phoenix West Park Dam,13500,Precip.,11/29/2001,33 35 02.8,112 04 55.0,1315,Peoria Ave. at 7th Ave.
Paradise Lane @ 47th Ave.,13700,Precip.,10/12/2015,33 37 56.7,112 09 31.4,1270,100 yds. east of 47th Ave. & Paradise Lane
Paradise Lane @ 47th Ave.,13707,Stream PT,10/12/2015,33 37 56.7,112 09 31.4,1270,100 yds. east of 47th Ave. & Paradise Lane
ACDC @ 67th Ave.,13800,Precip.,6/7/1990,33 37 17.8,112 12 09.7,1220,"67th Ave. Bridge at Arizona Canal, Glendale"
Deer Valley Airport,14200,Precip.,1/23/1991,33 41 24.8,112 03 58.6,1480,1/2 mi. N of Deer Valley Rd. and 7th Ave.
El Mirage Drain,14500,Precip.,2/16/2006,33 41 26.6,112 19 40.9,1265,1/2 mile S of Pinnacle Peak and El Mirage Roads
Agua Fria R. Grand Ave.,14700,Precip.,4/27/1994,33 36 26.6,112 18 20.6,1115,Grand Ave. bridge at Agua Fria River
Lake Pleasant,15000,Precip.,11/13/2008,33 50 50.6,112 16 41.0,1815,South end of Lake Pleasant
Lake Pleasant,15001,Temperature,11/13/2008,33 50 50.6,112 16 41.0,1815,South end of Lake Pleasant
Lake Pleasant,15002,Humidity,11/13/2008,33 50 50.6,112 16 41.0,1815,South end of Lake Pleasant
Lake Pleasant,15003,Pressure,11/13/2008,33 50 50.6,112 16 41.0,1815,South end of Lake Pleasant
Lake Pleasant,15004,Ave. Wind,11/13/2008,33 50 50.6,112 16 41.0,1815,South end of Lake Pleasant
Lake Pleasant,15005,Wind Dir.,11/13/2008,33 50 50.6,112 16 41.0,1815,South end of Lake Pleasant
Lake Pleasant,15006,Peak Wind,11/13/2008,33 50 50.6,112 16 41.0,1815,South end of Lake Pleasant
Lake Pleasant,15016,Dewpoint,11/14/2008,33 50 50.6,112 16 41.0,1815,South end of Lake Pleasant
Lake Pleasant,15021,Evap.,11/13/2008,33 50 50.6,112 16 41.0,1815,South end of Lake Pleasant
Lake Pleasant North,15300,Precip.,4/24/2001,33 54 16.8,112 16 15.0,1750,"On Deer Island, north end of Lake Pleasant"
Lake Pleasant North,15301,Temperature,4/24/2001,33 54 16.8,112 16 15.0,1750,"On Deer Island, north end of Lake Pleasant"
Lake Pleasant North,15302,Humidity,4/24/2001,33 54 16.8,112 16 15.0,1750,"On Deer Island, north end of Lake Pleasant"
Lake Pleasant North,15303,Pressure,4/24/2001,33 54 16.8,112 16 15.0,1750,"On Deer Island, north end of Lake Pleasant"
Lake Pleasant North,15304,Ave. Wind,4/24/2001,33 54 16.8,112 16 15.0,1750,"On Deer Island, north end of Lake Pleasant"
Lake Pleasant North,15305,Wind Dir.,4/24/2001,33 54 16.8,112 16 15.0,1750,"On Deer Island, north end of Lake Pleasant"
Lake Pleasant North,15306,Peak Wind,4/24/2001,33 54 16.8,112 16 15.0,1750,"On Deer Island, north end of Lake Pleasant"
Lake Pleasant North,15311,Solar Rad.,4/24/2001,33 54 16.8,112 16 15.0,1750,"On Deer Island, north end of Lake Pleasant"
Lake Pleasant North,15316,Dewpoint,5/1/2001,33 54 16.8,112 16 15.0,1750,"On Deer Island, north end of Lake Pleasant"
Garfias Mountain Ranch,15500,Precip.,4/14/1981,33 58 59.1,112 24 43.7,2655,"6 mi. WSW of Castle Hot Springs, off Castle Hot Springs Rd."
Columbia Hill,15800,Precip.,7/27/1981,34 01 04.7,112 21 19.7,2370,5 mi. NNW of Castle Hot Springs
Horsethief Basin,16000,Precip.,11/24/1986,34 09 44.6,112 16 14.1,6705,"At HB Recreation Area, 6 mi. SE of Crown King"
Horsethief Basin,16001,Temperature,12/21/1987,34 09 44.6,112 16 14.1,6705,"At HB Recreation Area, 6 mi. SE of Crown King"
Horsethief Basin,16002,Humidity,12/21/1987,34 09 44.6,112 16 14.1,6705,"At HB Recreation Area, 6 mi. SE of Crown King"
Horsethief Basin,16003,Pressure,4/8/1993,34 09 44.6,112 16 14.1,6705,"At HB Recreation Area, 6 mi. SE of Crown King"
Horsethief Basin,16004,Ave. Wind,12/21/1987,34 09 44.6,112 16 14.1,6705,"At HB Recreation Area, 6 mi. SE of Crown King"
Horsethief Basin,16005,Wind Dir.,5/1/2001,34 09 44.6,112 16 14.1,6705,"At HB Recreation Area, 6 mi. SE of Crown King"
Horsethief Basin,16006,Peak Wind,7/19/1993,34 09 44.6,112 16 14.1,6705,"At HB Recreation Area, 6 mi. SE of Crown King"
Horsethief Basin,16011,Solar Rad.,12/3/1987,34 09 44.6,112 16 14.1,6705,"At HB Recreation Area, 6 mi. SE of Crown King"
Horsethief Basin,16016,Dewpoint,7/8/1994,34 09 44.6,112 16 14.1,6705,"At HB Recreation Area, 6 mi. SE of Crown King"
Sunset Point,16500,Precip.,7/11/1981,34 11 13.0,112 08 04.4,3395,"Sunset Point Rest Area, 10 mi. N of Black Canyon City"
Horseshoe Ranch,16700,Precip.,5/1/1981,34 13 50.1,112 00 01.0,3805,10 mi. SE of Cordes Junction
Horner Mountain Ranch,17000,Precip.,4/1/1981,34 22 02.2,111 56 12.4,4490,11 mi. ENE of Cordes Junction
Arizona Hunt Club,17300,Precip.,4/4/1981,34 23 26.6,112 07 55.8,3820,5 mi. NNW of Cordes Junction
I-17 @ SR 169,17500,Precip.,11/11/1987,34 30 52.5,111 59 40.6,4480,I-17 at SR 169 (Cherry Rd.)
Dewey,17800,Precip.,11/1/1981,34 31 29.0,112 08 48.2,4785,5 mi. E of Dewey off Orme Ranch Rd.
I-10 @ 355th Ave.,18200,Precip.,9/7/2001,33 28 15.1,112 48 58.6,1095,3 miles NW of the Hassayampa River crossing at I-10
Buckeye Rd. @ SR 85,18500,Precip.,9/20/2000,33 22 06.0,112 37 14.5,865,Buckeye Rd. at State Route 85
Desert Mountain School,18700,Precip.,7/19/2006,33 48 33.6,112 04 37.9,1810,1/4 mile SE of Cloud Rd. and 7th Ave.
Desert Mountain School,18701,Temperature,7/19/2006,33 48 33.6,112 04 37.9,1810,1/4 mile SE of Cloud Rd. and 7th Ave.
Desert Mountain School,18702,Humidity,7/19/2006,33 48 33.6,112 04 37.9,1810,1/4 mile SE of Cloud Rd. and 7th Ave.
Desert Mountain School,18703,Pressure,7/19/2006,33 48 33.6,112 04 37.9,1810,1/4 mile SE of Cloud Rd. and 7th Ave.
Desert Mountain School,18704,Ave. Wind,7/19/2006,33 48 33.6,112 04 37.9,1810,1/4 mile SE of Cloud Rd. and 7th Ave.
Desert Mountain School,18705,Wind Dir.,7/19/2006,33 48 33.6,112 04 37.9,1810,1/4 mile SE of Cloud Rd. and 7th Ave.
Desert Mountain School,18706,Peak Wind,7/19/2006,33 48 33.6,112 04 37.9,1810,1/4 mile SE of Cloud Rd. and 7th Ave.
Desert Mountain School,18711,Solar Rad.,7/19/2006,33 48 33.6,112 04 37.9,1810,1/4 mile SE of Cloud Rd. and 7th Ave.
Desert Mountain School,18716,Dewpoint,7/21/2006,33 48 33.6,112 04 37.9,1810,1/4 mile SE of Cloud Rd. and 7th Ave.
Cave Creek,19000,Precip.,5/29/2003,33 49 48.9,111 58 04.0,1995,1 mile west of Cave Creek Town Hall
Desert Hills Wash,19300,Precip.,3/2/2006,33 49 41.6,112 02 54.0,1860,Joy Ranch Road at 16th Street
Cave Buttes Dam,19500,Precip.,1/25/1984,33 43 01.3,112 02 40.2,1680,1/4 mi. North of the Happy Valley Rd. & 16th St. alignments
Stagecoach Wash,20000,Precip.,6/13/2001,33 48 42.8,111 53 28.0,2555,On Pima Road about 1/2 mile south of Cave Creek Road
Cave Creek Landfill,20200,Precip.,4/22/1993,33 47 29.5,111 59 51.1,1885,1/2 mi. E of Carefree Hwy. and the 40th St. alignment
Galloway Wash @ Galloway Rd.,20600,Precip.,8/16/2016,33 49 54.2,111 55 42.9,2295,Galloway Rd. 1/4 mile N of Cave Creek Rd.
Galloway Wash @ Galloway Rd.,20607,Stream PT,8/16/2016,33 49 54.2,111 55 42.9,2295,Galloway Rd. 1/4 mile N of Cave Creek Rd.
Cave Cr. @ Spur Cross Rd.,20700,Precip.,6/16/1993,33 53 16.6,111 57 12.8,2280,3.5 mi. North of the Town of Cave Creek
Carefree Ranch,21000,Precip.,7/15/1985,33 51 08.3,111 51 49.1,2960,2.5 mi. NE of Skyranch Airport
Carefree Ranch,21001,Temperature,11/2/1987,33 51 08.3,111 51 49.1,2960,2.5 mi. NE of Skyranch Airport
Carefree Ranch,21002,Humidity,3/25/1994,33 51 08.3,111 51 49.1,2960,2.5 mi. NE of Skyranch Airport
Carefree Ranch,21004,Ave. Wind,11/2/1987,33 51 08.3,111 51 49.1,2960,2.5 mi. NE of Skyranch Airport
Carefree Ranch,21005,Wind Dir.,5/1/2001,33 51 08.3,111 51 49.1,2960,2.5 mi. NE of Skyranch Airport
Carefree Ranch,21006,Peak Wind,3/25/1994,33 51 08.3,111 51 49.1,2960,2.5 mi. NE of Skyranch Airport
Carefree Ranch,21011,Solar Rad.,3/25/1994,33 51 08.3,111 51 49.1,2960,2.5 mi. NE of Skyranch Airport
Carefree Ranch,21016,Dewpoint,7/8/1994,33 51 08.3,111 51 49.1,2960,2.5 mi. NE of Skyranch Airport
Seven Springs,21500,Precip.,11/12/1981,34 03 07.2,111 51 31.9,4615,15 mi. NNE of the Town of Cave Creek
Seven Springs Wash,21800,Precip.,3/12/2002,33 57 37.3,111 50 37.0,3530,11 miles NE of Cave Creek
New River Mesa,22000,Precip.,3/3/2009,33 59 38.1,111 55 42.4,3960,11 miles north of Cave Creek
Delaney Wash @ Salome Hwy.,22308,Flasher,7/13/2005,33 26 49.0,112 54 43.8,1027,Delaney Wash at Salome Highway
Delaney Wash @ Salome Hwy.,22332,Status,7/13/2005,33 26 49.0,112 54 43.8,1027,Delaney Wash at Salome Highway
Delaney Wash @ Salome Hwy.,22335,Status,7/13/2005,33 26 49.0,112 54 43.8,1027,Delaney Wash at Salome Highway
Delaney Wash @ Salome Hwy.,22338,Flasher,7/13/2005,33 26 49.0,112 54 43.8,1027,Delaney Wash at Salome Highway
Centennial Trib. @ Dobbins Rd.,22800,Precip.,10/1/2012,33 21 49.1,112 59 35.6,1020,7.5 miles WSW of Palo Verde Nuclear Plant
Sugarloaf Mountain,23000,Precip.,5/27/2004,33 41 28.9,113 05 37.2,2760,16 mi NW of Tonopah
G&F Woolsey Peak,23200,Precip.,6/25/2003,33 10 23.7,112 52 50.5,1985,8 miles SW of Gillespie Dam
G&F Woolsey Peak,23201,Temperature,6/25/2003,33 10 23.7,112 52 50.5,1985,8 miles SW of Gillespie Dam
G&F Woolsey Peak,23202,Humidity,6/25/2003,33 10 23.7,112 52 50.5,1985,8 miles SW of Gillespie Dam
G&F Woolsey Peak,23207,Stream PT,6/25/2003,33 10 23.7,112 52 50.5,1985,8 miles SW of Gillespie Dam
G&F Woolsey Peak,23216,Dewpoint,6/26/2003,33 10 23.7,112 52 50.5,1985,8 miles SW of Gillespie Dam
Eagle Eye Rd. @ CAP,23500,Precip.,6/17/2003,33 35 04.2,113 18 00.9,1400,1.5 miles S of Salome Hwy. on Eagle Eye Road
Cruff Wash,23700,Precip.,5/14/2002,33 15 04.0,112 52 54.4,940,6 mi. west of Agua Caliente Road and Old US 80
Buckeye Rd. @ 547th Ave.,24000,Precip.,6/13/2000,33 26 08.5,113 13 49.4,1205,Buckeye Road at 547th Avenue
Baseline Rd. @ 547th Ave.,24300,Precip.,5/24/2000,33 22 38.5,113 13 43.6,1235,SW corner of Baseline and 547th Ave.
Webb Mountain,24500,Precip.,5/22/2002,33 13 55.3,112 52 08.2,1035,4 mi. west of Agua Caliente Road and Old US 80
Centennial Railroad,24700,Precip.,2/9/1990,33 18 35.6,112 52 58.4,850,8 mi. NW of Gillespie Dam
Delaney Wash,25000,Precip.,12/20/1999,33 28 08.3,112 58 10.4,1130,3 miles SSW of Tonopah
Saddleback FRS,25200,Precip.,12/16/1988,33 27 59.8,113 04 21.3,1180,7 mi. WSW of Tonopah in Harquahala Valley
Winters Wash,25500,Precip.,7/11/2000,33 30 31.5,112 54 44.0,1125,1 mi. N of Indian School Rd. and 403rd Ave.
Centennial Levee,25700,Precip.,3/7/1984,33 31 09.9,113 15 37.8,1260,2 mi S. of I-10 and 4 mi. E. of W. County border
Harquahala FRS,26000,Precip.,9/15/1993,33 32 55.3,113 05 51.8,1420,10 mi. WNW of Tonopah in Harquahala Valley
Upper Tiger Wash,26300,Precip.,11/1/1981,33 48 37.6,113 10 29.3,2190,11 mi. S. of Aguila off Eagle Eye Road
Four Mile Wash,26500,Precip.,7/5/2001,33 32 23.5,112 51 13.3,1210,Near the alignments of 371st Ave. and Glendale Ave.
Tiger Wash Fan,26800,Precip.,9/21/1994,33 40 13.3,113 18 50.0,1605,1 mi. W of Eagle Eye Rd. and 4 mi. N of Salome Highway
Tiger Wash Fan,26801,Temperature,9/21/1994,33 40 13.3,113 18 50.0,1605,1 mi. W of Eagle Eye Rd. and 4 mi. N of Salome Highway
Tiger Wash Fan,26802,Humidity,9/21/1994,33 40 13.3,113 18 50.0,1605,1 mi. W of Eagle Eye Rd. and 4 mi. N of Salome Highway
Tiger Wash Fan,26803,Pressure,7/1/1994,33 40 13.3,113 18 50.0,1605,1 mi. W of Eagle Eye Rd. and 4 mi. N of Salome Highway
Tiger Wash Fan,26804,Ave. Wind,9/21/1994,33 40 13.3,113 18 50.0,1605,1 mi. W of Eagle Eye Rd. and 4 mi. N of Salome Highway
Tiger Wash Fan,26805,Wind Dir.,5/1/2001,33 40 13.3,113 18 50.0,1605,1 mi. W of Eagle Eye Rd. and 4 mi. N of Salome Highway
Tiger Wash Fan,26806,Peak Wind,9/21/1994,33 40 13.3,113 18 50.0,1605,1 mi. W of Eagle Eye Rd. and 4 mi. N of Salome Highway
Tiger Wash Fan,26811,Solar Rad.,9/23/1994,33 40 13.3,113 18 50.0,1605,1 mi. W of Eagle Eye Rd. and 4 mi. N of Salome Highway
Tiger Wash Fan,26816,Dewpoint,9/22/1995,33 40 13.3,113 18 50.0,1605,1 mi. W of Eagle Eye Rd. and 4 mi. N of Salome Highway
Tiger Wash,27000,Precip.,9/15/1999,33 44 30.3,113 16 42.8,1875,10 mi. N of the Eagle Eye Rd / Salome Hwy intersection
Gillespie Dam,27200,Precip.,4/12/1994,33 13 46.4,112 46 00.3,760,Gila River at Old US 80
Centennial Wash @ Wenden,27500,Precip.,9/2/1998,33 49 27.2,113 32 01.3,1880,5.5 mi. NE of Salome on US 60 Bridge
Upper Grass Wash,27700,Precip.,11/1/2002,33 52 39.4,113 05 26.5,2290,7 miles SE of Aguila
Narrows Damsite,28000,Precip.,9/1/1994,33 43 29.9,113 30 45.7,1690,5 mi. SE of Salome off Salome Highway
Aguila VFD,28300,Precip.,9/19/2001,33 56 27.4,113 10 19.8,2170,1/4 mi. SE of US 60 and Eagle Eye Rd.
Aguila VFD,28301,Temperature,3/26/2015,33 56 27.4,113 10 19.8,2170,1/4 mi. SE of US 60 and Eagle Eye Rd.
Aguila VFD,28302,Humidity,3/26/2015,33 56 27.4,113 10 19.8,2170,1/4 mi. SE of US 60 and Eagle Eye Rd.
Aguila VFD,28304,Ave. Wind,3/26/2015,33 56 27.4,113 10 19.8,2170,1/4 mi. SE of US 60 and Eagle Eye Rd.
Aguila VFD,28305,Wind Dir.,3/26/2015,33 56 27.4,113 10 19.8,2170,1/4 mi. SE of US 60 and Eagle Eye Rd.
Aguila VFD,28306,Peak Wind,3/26/2015,33 56 27.4,113 10 19.8,2170,1/4 mi. SE of US 60 and Eagle Eye Rd.
Aguila VFD,28316,Dewpoint,3/26/2015,33 56 27.4,113 10 19.8,2170,1/4 mi. SE of US 60 and Eagle Eye Rd.
Outlaw Hill,28500,Precip.,5/13/2002,33 54 51.3,112 56 20.9,2670,"South of US 60, 14 miles east of Aguila"
Gladden,28800,Precip.,8/27/1982,33 54 10.2,113 17 53.4,2205,"US 60 at Gladden, 7 miles SSW of Aguila"
Centennial Wash near Aguila,29000,Precip.,6/5/2001,33 58 00.3,113 04 07.9,2275,5 mi. NNE of the US 60 / SR 71 junction
Centennial Wash,29200,Precip.,11/19/1981,33 56 35.6,113 00 02.0,2420,19 miles west of Wickenburg
Alamo Road,29400,Precip.,11/19/2015,33 56 43.7,113 32 34.9,2450,"8 miles N of Wenden, La Paz Co."
Smith Peak,29500,Precip.,5/1/1980,34 04 01.6,113 21 03.8,5140,"Harcuvar Mtns., 13 mi. NW of Aguila"
Centennial Divide,29700,Precip.,8/21/2001,34 00 03.2,112 54 50.3,2465,7 miles WSW of the US89/US93 Junction
Ritter Dam,30000,Precip.,11/21/2002,34 02 59.2,113 00 27.4,2580,9 miles NE of Aguila
Wood Tank,30300,Precip.,11/20/2002,34 02 41.7,113 04 42.6,2420,8 miles NNE of Aguila
Joshua Tree,30500,Precip.,3/5/2002,34 09 47.8,113 00 55.3,2840,4.5 miles NW of the SR71 / US93 junction
Chaparral Park,30600,Precip.,12/19/2016,33 26 45.8,111 47 15.3,1280,0.4 mi. S of Gilbert Rd. & McKellips Rd.
